topic,label,term,probability
3,"Aerospace, Defense & Industrials",cash,0.0048997216
3,"Aerospace, Defense & Industrials",talk,0.004835696
3,"Aerospace, Defense & Industrials",defense,0.0044996026
3,"Aerospace, Defense & Industrials",mean,0.004300558
3,"Aerospace, Defense & Industrials",service,0.0042384723
3,"Aerospace, Defense & Industrials",part,0.00414787
3,"Aerospace, Defense & Industrials",seeing,0.0040472983
3,"Aerospace, Defense & Industrials",side,0.003905412
3,"Aerospace, Defense & Industrials",work,0.0038145382
3,"Aerospace, Defense & Industrials",contract,0.0038074586
3,"Aerospace, Defense & Industrials",space,0.0037733633
3,"Aerospace, Defense & Industrials",make,0.0037494616
3,"Aerospace, Defense & Industrials",talked,0.0036445109
3,"Aerospace, Defense & Industrials",pipeline,0.003631016
3,"Aerospace, Defense & Industrials",flow,0.0035989925
3,"Aerospace, Defense & Industrials",acquisition,0.003547756
3,"Aerospace, Defense & Industrials",around,0.0034677417
3,"Aerospace, Defense & Industrials",hey,0.0032265827
3,"Aerospace, Defense & Industrials",way,0.0031484931
3,"Aerospace, Defense & Industrials",pretty,0.0031268029
4,Real Estate & REITs,rate,0.0071587884
4,Real Estate & REITs,portfolio,0.006700648
4,Real Estate & REITs,asset,0.0065045175
4,Real Estate & REITs,opportunity,0.006077281
4,Real Estate & REITs,morning,0.005888592
4,Real Estate & REITs,capital,0.0056320066
4,Real Estate & REITs,lease,0.0055800276
4,Real Estate & REITs,mean,0.0052453703
4,Real Estate & REITs,property,0.005096863
4,Real Estate & REITs,sort,0.0046214825
4,Real Estate & REITs,guidance,0.0045466297
4,Real Estate & REITs,hey,0.00452392
4,Real Estate & REITs,seeing,0.004409313
4,Real Estate & REITs,rent,0.004268525
4,Real Estate & REITs,guy,0.0041306773
4,Real Estate & REITs,got,0.0040954375
4,Real Estate & REITs,occupancy,0.0040764357
4,Real Estate & REITs,guess,0.0039675995
4,Real Estate & REITs,gon,0.00376746
4,Real Estate & REITs,tenant,0.0036726003
4,Real Estate & REITs,please,0.003564007
4,Real Estate & REITs,acquisition,0.0034922129
4,Real Estate & REITs,development,0.003450665
4,Real Estate & REITs,mentioned,0.0034154144
4,Real Estate & REITs,obviously,0.0033613527
4,Real Estate & REITs,cost,0.003316989
4,Real Estate & REITs,come,0.003226733
4,Real Estate & REITs,deal,0.003087751
4,Real Estate & REITs,leasing,0.0030741207
4,Real Estate & REITs,store,0.0030614291
5,Financial Services Conference,capital,0.011367507
5,Financial Services Conference,loan,0.010933352
5,Financial Services Conference,asset,0.009996597
5,Financial Services Conference,credit,0.009063237
5,Financial Services Conference,investment,0.007913939
5,Financial Services Conference,bank,0.007881154
5,Financial Services Conference,portfolio,0.006931331
5,Financial Services Conference,opportunity,0.0061478117
5,Financial Services Conference,rate,0.005760625
5,Financial Services Conference,mean,0.0057598837
5,Financial Services Conference,equity,0.0055532507
5,Financial Services Conference,private,0.0054291054
5,Financial Services Conference,got,0.0052360995
5,Financial Services Conference,fund,0.0049342783
5,Financial Services Conference,sort,0.0048289006
5,Financial Services Conference,management,0.004719614
5,Financial Services Conference,side,0.004667305
5,Financial Services Conference,fee,0.0046566757
5,Financial Services Conference,around,0.00455106
5,Financial Services Conference,client,0.0043146894
5,Financial Services Conference,deposit,0.004214529
5,Financial Services Conference,talk,0.0041942378
5,Financial Services Conference,product,0.004187484
5,Financial Services Conference,investor,0.0041124276
5,Financial Services Conference,across,0.0040866397
5,Financial Services Conference,return,0.0038924303
5,Financial Services Conference,way,0.0038453124
5,Financial Services Conference,want,0.0038424218
5,Financial Services Conference,income,0.0036659914
5,Financial Services Conference,people,0.003602349
6,"Mining, Metals & Materials",price,0.015277153
6,"Mining, Metals & Materials",production,0.0142026115
6,"Mining, Metals & Materials",cost,0.011181806
6,"Mining, Metals & Materials",ton,0.009270744
6,"Mining, Metals & Materials",mine,0.007216946
6,"Mining, Metals & Materials",cash,0.006936479
6,"Mining, Metals & Materials",gold,0.0066676703
6,"Mining, Metals & Materials",project,0.006404845
6,"Mining, Metals & Materials",mining,0.0052429615
6,"Mining, Metals & Materials",operation,0.0052280305
6,"Mining, Metals & Materials",asset,0.004523242
6,"Mining, Metals & Materials",grade,0.0044754585
6,"Mining, Metals & Materials",copper,0.0044446345
6,"Mining, Metals & Materials",plant,0.004444329
6,"Mining, Metals & Materials",capital,0.0043457947
6,"Mining, Metals & Materials",guidance,0.0043406393
6,"Mining, Metals & Materials",around,0.0042853886
6,"Mining, Metals & Materials",metal,0.0042142733
6,"Mining, Metals & Materials",mean,0.004158499
6,"Mining, Metals & Materials",opportunity,0.0038896876
6,"Mining, Metals & Materials",higher,0.0037683416
6,"Mining, Metals & Materials",silver,0.0035870124
6,"Mining, Metals & Materials",flow,0.0034614876
6,"Mining, Metals & Materials",increase,0.0034467338
6,"Mining, Metals & Materials",please,0.0034390434
6,"Mining, Metals & Materials",gon,0.0034382832
6,"Mining, Metals & Materials",work,0.0034231306
6,"Mining, Metals & Materials",plan,0.0033643916
6,"Mining, Metals & Materials",coal,0.0033026598
6,"Mining, Metals & Materials",ore,0.0032482117
7,"Oil, Gas & Energy",capital,0.009475199
7,"Oil, Gas & Energy",cad,0.009176658
7,"Oil, Gas & Energy",morning,0.008381272
7,"Oil, Gas & Energy",production,0.005896784
7,"Oil, Gas & Energy",gas,0.005830499
7,"Oil, Gas & Energy",basin,0.005572156
7,"Oil, Gas & Energy",day,0.005269569
7,"Oil, Gas & Energy",well,0.0051250737
7,"Oil, Gas & Energy",got,0.0050554345
7,"Oil, Gas & Energy",price,0.0050419997
7,"Oil, Gas & Energy",asset,0.004870603
7,"Oil, Gas & Energy",flow,0.004503602
7,"Oil, Gas & Energy",cash,0.0044632656
7,"Oil, Gas & Energy",mean,0.004221132
7,"Oil, Gas & Energy",opportunity,0.0041283816
7,"Oil, Gas & Energy",oil,0.0040787016
7,"Oil, Gas & Energy",return,0.0038536524
7,"Oil, Gas & Energy",guy,0.0038382441
7,"Oil, Gas & Energy",across,0.0037982238
7,"Oil, Gas & Energy",appreciate,0.0037924056
7,"Oil, Gas & Energy",sort,0.003788899
7,"Oil, Gas & Energy",volume,0.0037610286
7,"Oil, Gas & Energy",come,0.0037151547
7,"Oil, Gas & Energy",pet,0.0036904425
7,"Oil, Gas & Energy",plan,0.0035106253
7,"Oil, Gas & Energy",gon,0.0034831867
7,"Oil, Gas & Energy",activity,0.0034827788
7,"Oil, Gas & Energy",area,0.0034792703
7,"Oil, Gas & Energy",cost,0.0034645128
7,"Oil, Gas & Energy",line,0.0034295667
8,Industrial Conference (Mixed),client,0.0116663
8,Industrial Conference (Mixed),customer,0.010070363
8,Industrial Conference (Mixed),data,0.0077223605
8,Industrial Conference (Mixed),software,0.0075296424
8,Industrial Conference (Mixed),product,0.006779207
8,Industrial Conference (Mixed),service,0.0066991597
8,Industrial Conference (Mixed),talk,0.00612556
8,Industrial Conference (Mixed),way,0.0060148668
8,Industrial Conference (Mixed),sort,0.005677625
8,Industrial Conference (Mixed),around,0.005436646
8,Industrial Conference (Mixed),revenue,0.0052315514
8,Industrial Conference (Mixed),value,0.005106012
8,Industrial Conference (Mixed),work,0.0049470924
8,Industrial Conference (Mixed),margin,0.004855633
8,Industrial Conference (Mixed),talked,0.004831891
8,Industrial Conference (Mixed),people,0.004696989
8,Industrial Conference (Mixed),technology,0.004686461
8,Industrial Conference (Mixed),opportunity,0.0042706733
8,Industrial Conference (Mixed),want,0.004203097
8,Industrial Conference (Mixed),got,0.003961758
8,Industrial Conference (Mixed),different,0.0039577526
8,Industrial Conference (Mixed),make,0.003946703
8,Industrial Conference (Mixed),solution,0.003905921
8,Industrial Conference (Mixed),use,0.0038947742
8,Industrial Conference (Mixed),across,0.0038674488
8,Industrial Conference (Mixed),model,0.0038028248
8,Industrial Conference (Mixed),seeing,0.0037622135
8,Industrial Conference (Mixed),part,0.0037300726
8,Industrial Conference (Mixed),still,0.0036309906
8,Industrial Conference (Mixed),mean,0.0036036577
9,Transport & Logistics,aircraft,0.010466762
9,Transport & Logistics,fleet,0.009732209
9,Transport & Logistics,sir,0.00858535
9,Transport & Logistics,revenue,0.007941438
9,Transport & Logistics,cost,0.0074744606
9,Transport & Logistics,capacity,0.0065647555
9,Transport & Logistics,airline,0.0063839015
9,Transport & Logistics,travel,0.0057086637
9,Transport & Logistics,inr,0.005521418
9,Transport & Logistics,ship,0.0051305387
9,Transport & Logistics,vessel,0.0051083122
9,Transport & Logistics,mean,0.0050114696
9,Transport & Logistics,please,0.00454878
9,Transport & Logistics,want,0.0044434574
9,Transport & Logistics,charter,0.004128033
9,Transport & Logistics,month,0.0040458734
9,Transport & Logistics,gon,0.003989802
9,Transport & Logistics,industry,0.0039182603
9,Transport & Logistics,seeing,0.0039120163
9,Transport & Logistics,customer,0.0038851548
9,Transport & Logistics,member,0.0037096536
9,Transport & Logistics,got,0.0035078526
9,Transport & Logistics,way,0.0034892554
9,Transport & Logistics,increase,0.0034228931
9,Transport & Logistics,product,0.0033852432
9,Transport & Logistics,around,0.0033631108
9,Transport & Logistics,crore,0.003331729
9,Transport & Logistics,part,0.0031806258
9,Transport & Logistics,engine,0.0030746243
9,Transport & Logistics,demand,0.0029123456
10,Insurance & Specialty Finance,please,0.01732451
10,Insurance & Specialty Finance,morning,0.012746534
10,Insurance & Specialty Finance,star,0.009739943
10,Insurance & Specialty Finance,press,0.009491785
10,Insurance & Specialty Finance,may,0.008129174
10,Insurance & Specialty Finance,earnings,0.007406942
10,Insurance & Specialty Finance,ahead,0.00634771
10,Insurance & Specialty Finance,ask,0.005348384
10,Insurance & Specialty Finance,come,0.0047336207
10,Insurance & Specialty Finance,remark,0.0045093982
10,Insurance & Specialty Finance,sale,0.004440163
10,Insurance & Specialty Finance,joining,0.004406818
10,Insurance & Specialty Finance,net,0.0043977816
10,Insurance & Specialty Finance,performance,0.004312802
10,Insurance & Specialty Finance,turn,0.0042988122
10,Insurance & Specialty Finance,adjusted,0.00426786
10,Insurance & Specialty Finance,revenue,0.0041938974
10,Insurance & Specialty Finance,expect,0.004160009
10,Insurance & Specialty Finance,welcome,0.0040499503
10,Insurance & Specialty Finance,chief,0.0040344247
10,Insurance & Specialty Finance,officer,0.004023901
10,Insurance & Specialty Finance,rate,0.0040230905
10,Insurance & Specialty Finance,session,0.0038998378
10,Insurance & Specialty Finance,hey,0.003824482
10,Insurance & Specialty Finance,presentation,0.0037182139
10,Insurance & Specialty Finance,increase,0.0036760918
10,Insurance & Specialty Finance,telephone,0.003658739
10,Insurance & Specialty Finance,operating,0.0035834361
10,Insurance & Specialty Finance,cash,0.0035230443
10,Insurance & Specialty Finance,capital,0.0034821508
11,Healthcare Conference,patient,0.010132518
11,Healthcare Conference,product,0.0100849075
11,Healthcare Conference,revenue,0.009515118
11,Healthcare Conference,launch,0.0076430347
11,Healthcare Conference,sort,0.006142279
11,Healthcare Conference,mean,0.0054479227
11,Healthcare Conference,guidance,0.005425787
11,Healthcare Conference,expect,0.004418955
11,Healthcare Conference,care,0.0043914896
11,Healthcare Conference,sale,0.004072757
11,Healthcare Conference,taking,0.0040511126
11,Healthcare Conference,health,0.0040443377
11,Healthcare Conference,opportunity,0.003821737
11,Healthcare Conference,seeing,0.0038181343
11,Healthcare Conference,clinical,0.0037825892
11,Healthcare Conference,obviously,0.0036015199
11,Healthcare Conference,commercial,0.0035587635
11,Healthcare Conference,got,0.003367331
11,Healthcare Conference,hospital,0.00335748
11,Healthcare Conference,around,0.0033267715
11,Healthcare Conference,volume,0.0031426477
11,Healthcare Conference,come,0.003095924
11,Healthcare Conference,impact,0.0030831315
11,Healthcare Conference,talk,0.003032418
11,Healthcare Conference,early,0.002970007
11,Healthcare Conference,across,0.0029570372
11,Healthcare Conference,seen,0.0029368321
11,Healthcare Conference,want,0.0028967496
11,Healthcare Conference,still,0.002745774
11,Healthcare Conference,give,0.0027283798
12,Biotechnology & Drug R&D,patient,0.018313635
12,Biotechnology & Drug R&D,data,0.015564849
12,Biotechnology & Drug R&D,study,0.013012478
12,Biotechnology & Drug R&D,phase,0.010900678
12,Biotechnology & Drug R&D,trial,0.0073887794
12,Biotechnology & Drug R&D,program,0.0054499083
12,Biotechnology & Drug R&D,please,0.0046524606
12,Biotechnology & Drug R&D,taking,0.0043430165
12,Biotechnology & Drug R&D,disease,0.0043208883
12,Biotechnology & Drug R&D,dose,0.0042935032
12,Biotechnology & Drug R&D,drug,0.004158648
12,Biotechnology & Drug R&D,obviously,0.0040423935
12,Biotechnology & Drug R&D,come,0.0037461591
12,Biotechnology & Drug R&D,opportunity,0.0037247688
12,Biotechnology & Drug R&D,important,0.0037069109
12,Biotechnology & Drug R&D,need,0.0036258383
12,Biotechnology & Drug R&D,treatment,0.0035809977
12,Biotechnology & Drug R&D,expect,0.003510212
12,Biotechnology & Drug R&D,mean,0.0034929158
12,Biotechnology & Drug R&D,clinical,0.0034674713
12,Biotechnology & Drug R&D,therapy,0.003417301
12,Biotechnology & Drug R&D,development,0.0031881267
12,Biotechnology & Drug R&D,potential,0.0030941628
12,Biotechnology & Drug R&D,month,0.0030416164
12,Biotechnology & Drug R&D,ahead,0.0029930193
12,Biotechnology & Drug R&D,indication,0.0029783312
12,Biotechnology & Drug R&D,population,0.0029616815
12,Biotechnology & Drug R&D,want,0.0029560265
12,Biotechnology & Drug R&D,fda,0.0029433481
12,Biotechnology & Drug R&D,sort,0.0026777028
13,Australian & Pacific Markets,half,0.022529248
13,Australian & Pacific Markets,sort,0.015253796
13,Australian & Pacific Markets,aud,0.009650986
13,Australian & Pacific Markets,around,0.0094346125
13,Australian & Pacific Markets,cost,0.009278787
13,Australian & Pacific Markets,got,0.009083027
13,Australian & Pacific Markets,obviously,0.008433601
13,Australian & Pacific Markets,please,0.006899979
13,Australian & Pacific Markets,morning,0.0066512325
13,Australian & Pacific Markets,mean,0.004734433
13,Australian & Pacific Markets,ahead,0.0045557707
13,Australian & Pacific Markets,slide,0.004317162
13,Australian & Pacific Markets,across,0.004313771
13,Australian & Pacific Markets,month,0.004237918
13,Australian & Pacific Markets,guess,0.0041745873
13,Australian & Pacific Markets,come,0.0040595336
13,Australian & Pacific Markets,capital,0.0039736624
13,Australian & Pacific Markets,probably,0.0039057983
13,Australian & Pacific Markets,performance,0.0038639533
13,Australian & Pacific Markets,opportunity,0.0038115827
13,Australian & Pacific Markets,rate,0.0037506605
13,Australian & Pacific Markets,margin,0.0034095196
13,Australian & Pacific Markets,still,0.0033215422
13,Australian & Pacific Markets,give,0.0031111618
13,Australian & Pacific Markets,part,0.0030712818
13,Australian & Pacific Markets,moment,0.00305375
13,Australian & Pacific Markets,australia,0.00297649
13,Australian & Pacific Markets,work,0.0029231429
13,Australian & Pacific Markets,guidance,0.0028830816
13,Australian & Pacific Markets,group,0.0028303328
14,Energy Infrastructure & Utilities,project,0.015764913
14,Energy Infrastructure & Utilities,morning,0.008502861
14,Energy Infrastructure & Utilities,capacity,0.0069445283
14,Energy Infrastructure & Utilities,contract,0.0058723157
14,Energy Infrastructure & Utilities,energy,0.005233544
14,Energy Infrastructure & Utilities,please,0.005048819
14,Energy Infrastructure & Utilities,opportunity,0.0049785785
14,Energy Infrastructure & Utilities,capital,0.0048357807
14,Energy Infrastructure & Utilities,power,0.0047937483
14,Energy Infrastructure & Utilities,gas,0.0046908855
14,Energy Infrastructure & Utilities,customer,0.0043347944
14,Energy Infrastructure & Utilities,ebitda,0.004329885
14,Energy Infrastructure & Utilities,cash,0.004061574
14,Energy Infrastructure & Utilities,capex,0.0039809276
14,Energy Infrastructure & Utilities,demand,0.003959249
14,Energy Infrastructure & Utilities,mean,0.0038731194
14,Energy Infrastructure & Utilities,work,0.003793972
14,Energy Infrastructure & Utilities,need,0.0037881355
14,Energy Infrastructure & Utilities,around,0.003710485
14,Energy Infrastructure & Utilities,expect,0.003623505
14,Energy Infrastructure & Utilities,guidance,0.0035639266
14,Energy Infrastructure & Utilities,obviously,0.003360335
14,Energy Infrastructure & Utilities,day,0.0033520022
14,Energy Infrastructure & Utilities,working,0.0033509017
14,Energy Infrastructure & Utilities,mentioned,0.0033221496
14,Energy Infrastructure & Utilities,center,0.0033193193
14,Energy Infrastructure & Utilities,ahead,0.0033065367
14,Energy Infrastructure & Utilities,data,0.003196104
14,Energy Infrastructure & Utilities,may,0.0031481877
14,Energy Infrastructure & Utilities,let,0.003037685
15,Nordic Markets (Conf.),eur,0.00827044
15,Nordic Markets (Conf.),please,0.008109632
15,Nordic Markets (Conf.),let,0.0077207843
15,Nordic Markets (Conf.),cost,0.007399354
15,Nordic Markets (Conf.),course,0.0072664046
15,Nordic Markets (Conf.),mean,0.007147938
15,Nordic Markets (Conf.),expect,0.00513704
15,Nordic Markets (Conf.),presentation,0.0046466407
15,Nordic Markets (Conf.),still,0.0044526937
15,Nordic Markets (Conf.),margin,0.0044147605
15,Nordic Markets (Conf.),already,0.0043905154
15,Nordic Markets (Conf.),level,0.004389036
15,Nordic Markets (Conf.),guidance,0.0043862476
15,Nordic Markets (Conf.),part,0.0042645955
15,Nordic Markets (Conf.),quite,0.0040879324
15,Nordic Markets (Conf.),impact,0.003974947
15,Nordic Markets (Conf.),cash,0.0039636022
15,Nordic Markets (Conf.),mentioned,0.003935011
15,Nordic Markets (Conf.),increase,0.0038624553
15,Nordic Markets (Conf.),group,0.003859876
15,Nordic Markets (Conf.),come,0.0037977945
15,Nordic Markets (Conf.),sale,0.0037908324
15,Nordic Markets (Conf.),give,0.0037551366
15,Nordic Markets (Conf.),plan,0.0036356258
15,Nordic Markets (Conf.),revenue,0.003530414
15,Nordic Markets (Conf.),ahead,0.0034885088
15,Nordic Markets (Conf.),clear,0.0034572054
15,Nordic Markets (Conf.),net,0.0034513106
15,Nordic Markets (Conf.),ask,0.0033510341
15,Nordic Markets (Conf.),price,0.0033475035
16,Industrial Manufacturing,margin,0.017380249
16,Industrial Manufacturing,price,0.009849471
16,Industrial Manufacturing,volume,0.009657936
16,Industrial Manufacturing,product,0.009291407
16,Industrial Manufacturing,cost,0.008769986
16,Industrial Manufacturing,sale,0.008207791
16,Industrial Manufacturing,mean,0.0073072114
16,Industrial Manufacturing,tariff,0.0067479187
16,Industrial Manufacturing,half,0.006507531
16,Industrial Manufacturing,pricing,0.0063834516
16,Industrial Manufacturing,impact,0.006244461
16,Industrial Manufacturing,morning,0.0061582294
16,Industrial Manufacturing,order,0.005886734
16,Industrial Manufacturing,digit,0.0057651545
16,Industrial Manufacturing,side,0.0055206968
16,Industrial Manufacturing,expect,0.005511772
16,Industrial Manufacturing,seeing,0.0054905126
16,Industrial Manufacturing,america,0.005396131
16,Industrial Manufacturing,customer,0.005289011
16,Industrial Manufacturing,still,0.0051278053
16,Industrial Manufacturing,obviously,0.0047590383
16,Industrial Manufacturing,inventory,0.0047257906
16,Industrial Manufacturing,single,0.004422281
16,Industrial Manufacturing,part,0.004376698
16,Industrial Manufacturing,mix,0.004331605
16,Industrial Manufacturing,level,0.004217428
16,Industrial Manufacturing,seen,0.0041747573
16,Industrial Manufacturing,china,0.0041058892
16,Industrial Manufacturing,north,0.0040532476
16,Industrial Manufacturing,demand,0.00403168
17,Semiconductors & Electronics,customer,0.01570358
17,Semiconductors & Electronics,revenue,0.012382154
17,Semiconductors & Electronics,please,0.008954801
17,Semiconductors & Electronics,product,0.0083721345
17,Semiconductors & Electronics,demand,0.0072179097
17,Semiconductors & Electronics,data,0.007152107
17,Semiconductors & Electronics,margin,0.006819142
17,Semiconductors & Electronics,center,0.0056936983
17,Semiconductors & Electronics,gross,0.005606713
17,Semiconductors & Electronics,high,0.0053405105
17,Semiconductors & Electronics,order,0.0044910247
17,Semiconductors & Electronics,technology,0.004485885
17,Semiconductors & Electronics,memory,0.0043534148
17,Semiconductors & Electronics,ask,0.0042062458
17,Semiconductors & Electronics,supply,0.00378219
17,Semiconductors & Electronics,capacity,0.0035634434
17,Semiconductors & Electronics,increase,0.0033739822
17,Semiconductors & Electronics,may,0.003323977
17,Semiconductors & Electronics,follow,0.0032992705
17,Semiconductors & Electronics,expect,0.0032608223
17,Semiconductors & Electronics,ahead,0.0031529835
17,Semiconductors & Electronics,application,0.003136704
17,Semiconductors & Electronics,higher,0.0031341526
17,Semiconductors & Electronics,based,0.0029512271
17,Semiconductors & Electronics,half,0.0029508271
17,Semiconductors & Electronics,seeing,0.0028352544
17,Semiconductors & Electronics,cost,0.002825588
17,Semiconductors & Electronics,press,0.0027963386
17,Semiconductors & Electronics,ramp,0.0026947805
17,Semiconductors & Electronics,solution,0.0026907856
